5099090,5098583,1
5099090,5097941,1
5099090,5100274,1
5099090,5099096,1
5099090,5098717,1
5099096,5099110,1
5099096,5098095,2
5099096,5097941,2
5099096,5097894,1
5099096,5102237,1
5099110,5098606,1
5099110,5099090,1
5099110,5098583,1
5099110,5097941,1
5099110,5097316,1
5099349,5096948,1
5099349,5097505,1
5099349,5096969,1
5099499,5098095,1
5099499,5097316,1
5099903,5097875,1
5099903,5098619,1
5099903,5097316,1
5099903,5097894,1
5100134,5102992,1
5100134,5097941,1
5100134,5098463,1
5100235,5097875,1
5100235,5099090,1
5100235,5100274,1
5100235,5097894,1
5100327,5098606,1
5100327,5099110,1
5100327,5099090,1
5100327,5098583,1
5100327,5098619,1
5100327,5097316,1
5100327,5100333,1
5100333,5098606,1
5100333,5099110,1
5100333,5099090,1
5100333,5098583,1
5100333,5098619,1
5100333,5097316,1
5101041,5098541,1
5101041,5101061,1
5101061,5097875,4
5101061,5098541,1
5101061,5102924,1
5101061,5104295,1
5101061,5103789,1
5101061,5098095,1
5101061,5097941,1
5101061,5103072,1
5101061,5097994,1
5101061,5099903,1
5101061,5098619,1
5101061,5097316,2
5101061,5097894,2
5101061,5098545,1
5101061,5102939,1
5101285,5102009,1
5101285,5101998,1
5101285,5101840,3
5101285,5098619,1
5101285,5098242,1
5101285,5101981,1
5101750,5101041,1
5101750,5098545,1
5101981,5102009,1
5101981,5101998,1
5101981,5097875,1
5101981,5101840,1
5101981,5097941,1
5101981,5098619,1
5101998,5102009,1
5101998,5101840,1
5101998,5098619,1
5102009,5101840,1
5102009,5098619,1
5102237,5097941,1
5102237,5100134,1
5102267,5098583,1
5102267,5098095,1
5102267,5097316,1
5102317,5102267,1
5102317,5098095,1
5102317,5097316,1
5102317,5098545,1
5102690,5102992,1
5102690,5100134,1
5102690,5098717,1
5102690,5098463,1
5102841,5097941,1
5102924,5097894,1
5102924,5102939,1
5102939,5097875,1
5102939,5097894,1
5102992,5098463,1
5103242,5098619,3
5103242,5100235,1
5103330,5097316,1
5104295,5097875,1
5104295,5098095,1
5104295,5097994,1
5104295,5097316,1
5105104,5097316,1
5105151,5105174,1
